lower,d13C,stdev
118.0,-0.324,0.0
119.0,-0.04717427937915742,0.007761610000000002
120.0,0.018147277654594722,0.007186329660493828
121.0,0.0968042242987365,0.0008799109902132152
122.0,-0.000737708091366622,0.024639032753842282
123.0,0.010829003449125397,0.016268648196373452
124.0,0.010612799950726799,0.01988703212415123
125.0,-0.00337979921162847,0.02055025781859568
126.0,-0.03982590909090907,0.02875370228402778
127.0,-0.07256892531587654,0.02336136354501291
128.0,-0.13799006323396565,0.010280645597565157
129.0,-0.14200133037694013,0.0012320099999999997
