Depth ice/snow [m]	Gas age [ka BP]	δ13C CO2 [‰ PDB]	δ13C std e [±]	δ15N-N2 [‰ air]	δ15N std dev [±]	Core	Repl [#]	Flag [#]	Reference
1224.450	53.790	-6.66	0.021	0.37	0.014	Talos Dome	2	0	this study (sublimation)
1600.855	54.113	-6.71		0.40		EDML	1	0	this study (sublimation)
1233.755	55.029	-6.83		0.36		Talos Dome	1	0	this study (sublimation)
1239.475	55.909	-6.67		0.38		Talos Dome	1	0	this study (sublimation)
1241.875	56.228	-6.77		0.37		Talos Dome	1	0	this study (sublimation)
1636.865	56.547	-7.01		0.37		EDML	1	0	this study (sublimation)
1247.500	57.197	-6.91	0.014	0.38	0.003	Talos Dome	2	0	this study (sublimation)
1659.865	58.094	-6.97		0.40		EDML	1	0	this study (sublimation)
1253.875	58.210	-6.80		0.38		Talos Dome	1	0	this study (sublimation)
1259.450	59.087	-7.09	0.092	0.39	0.003	Talos Dome	2	0	this study (sublimation)
1263.475	59.722	-6.98		0.39		Talos Dome	1	0	this study (sublimation)
1695.815	60.103	-6.89	0.049	0.38	0.011	EDML	2	0	this study (sublimation)
1265.735	60.129	-6.83		0.38		Talos Dome	1	0	this study (sublimation)
1271.475	61.191	-6.82	0.014	0.38	0.000	Talos Dome	2	0	this study (sublimation)
1718.865	61.552	-6.89		0.43		EDML	1	0	this study (sublimation)
1275.475	62.025	-6.64		0.37		Talos Dome	1	0	this study (sublimation)
1283.350	63.994	-6.56	0.014	0.36	0.014	Talos Dome	2	0	this study (sublimation)
1283.477	64.034	-6.44	0.030	0.35		Talos Dome	2	0	Schneider (2011) (sublimation)
1755.895	64.651	-6.85		0.42		EDML	1	1	this study (sublimation)
1287.115	65.048	-6.37	0.060	0.36		Talos Dome	3	0	Schneider (2011) (sublimation)
1289.665	65.859	-6.37		0.36		Talos Dome	1	0	Schneider (2011) (sublimation)
1295.005	67.742	-6.27		0.36		Talos Dome	1	0	Schneider (2011) (sublimation)
1295.475	67.921	-6.40		0.34		Talos Dome	1	0	this study (sublimation)
1295.500	67.930	-6.29		0.36		Talos Dome	1	0	Schneider (2011) (sublimation)
