lower,d13C,stdev
118.0,0.6806657023863367,0.042359190234860976
119.0,0.5560956603916853,0.03801149813368804
120.0,0.5933548901325627,0.03615891443099126
121.0,0.6367749667795971,0.03174566771676594
122.0,0.6243488703505929,0.03304016823465744
123.0,0.5685175851583577,0.029908712309596273
124.0,0.5130556491000335,0.04461021194470011
125.0,0.47623935637994563,0.03325892985208163
126.0,0.4604320305449381,0.04273710946490562
127.0,0.4417007125603865,0.045390291158076766
128.0,0.3935866575080516,0.09336085928029232
129.0,0.24905872282608696,0.10636799116514076
