,years,d13C
0,112,0.6283917327250481
1,113,0.4706988777533991
2,114,0.5574228276545551
3,115,0.5889120729474039
4,116,0.6045003099298121
5,117,0.6454788451250066
6,118,0.6518982431353729
7,119,0.6263450449146143
8,120,0.7866795577520608
9,121,0.8493396613795988
10,122,0.6483848244978374
11,123,0.577396340939636
12,124,0.6641458076598945
13,125,0.4176759596327599
14,126,0.3735002108224251
15,127,0.3372746633651347
16,128,0.43574443420415343
17,129,0.4242127829066711
18,130,0.3020099092247019
19,131,0.22801591046035916
20,132,0.2130661109987074
21,133,-0.05078647982942737
22,134,0.3303071631707502
23,135,0.2880820669714478
