,years,d13C
0,3,0.8407737586506993
1,4,0.854676697106627
2,5,0.8472735463244102
3,6,0.8008908803382339
4,7,0.7872874136135294
5,8,0.7831198100654431
6,9,0.7504474742412361
7,10,0.7059695919417741
8,11,0.6642749269342002
9,12,0.5865991710322133
10,13,0.5211825120080427
11,14,0.4357469988936411
12,15,0.27489624917862826
13,16,0.32069464289583893
14,17,0.3343085027184587
15,18,0.31386887617367504
16,19,0.3360431141411319
