lower,d13C,stdev
2.0,0.30124999999999996,0.0
3.0,0.1877777777777778,0.0
4.0,0.30733333333333335,0.0
5.0,0.20400000000000001,0.0
6.0,0.14200000000000002,0.0
7.0,0.245,0.0
